net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,37.321,21,0,,,,,,,
V5,1,140.93,80,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,15,43.658,0.108582,55.975,56.026
V5,1,140.93,80,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,28,37.912,0.094291,51.35,74.929
V5,1,140.93,80,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,51,16.859,0.041931,45.836,94.798
V5,1,140.93,80,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,62,37.912,0.094291,34.16,113.674
V5,1,140.93,80,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,84,43.658,0.108582,28.958,123.887
USB_DM,1,120.322,68,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,15,43.658,0.108582,60.159,58.356
USB_DM,1,120.322,68,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,28,37.912,0.094291,55.531,76.664
USB_DM,1,120.322,68,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,51,16.859,0.041931,52.805,97.69
USB_DM,1,120.322,68,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,62,37.912,0.094291,45.413,118.046
USB_DM,1,120.322,68,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,84,43.658,0.108582,37.885,127.355
USB_DP,1,108.492,55,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,5,44.079,0.109629,60.69,26.075
USB_DP,1,108.492,55,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,28,37.612,0.093546,78.194,13.862
USB_DP,1,108.492,55,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,44,16.617,0.041328,249.181,14.977
USB_DP,1,108.492,55,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,63,37.612,0.093546,121.86,287.571
USB_DP,1,108.492,55,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,77,44.079,0.109629,21.986,168.341
DRV1,1,50.112,30,73 58 73 58 59 60 73,C71 S64 C54 S78,crease,71,41.943,0.104317,3.12,159.225
DRV1,1,50.112,30,73 58 73 58 59 60 73,C71 S64 C54 S78,seam,64,3.968,0.009868,3.394,159.921
DRV1,1,50.112,30,73 58 73 58 59 60 73,C71 S64 C54 S78,crease,54,1.671,0.004155,23.606,170.64
DRV1,1,50.112,30,73 58 73 58 59 60 73,C71 S64 C54 S78,seam,78,43.658,0.108582,29.874,167.473
LEDA1,1,26.338,13,73,,,,,,,
DRV2,1,86.682,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA2,1,14.879,8,55,,,,,,,
IO1,1,127.326,68,73 68 73 68 50 68 50 32 50 32 14 32 14 0 14 0,S85 C63 S52 C30 S17,seam,85,44.079,0.109629,10.309,116.678
IO1,1,127.326,68,73 68 73 68 50 68 50 32 50 32 14 32 14 0 14 0,S85 C63 S52 C30 S17,crease,63,37.612,0.093546,9.977,104.438
IO1,1,127.326,68,73 68 73 68 50 68 50 32 50 32 14 32 14 0 14 0,S85 C63 S52 C30 S17,seam,52,16.617,0.041328,14.217,81.48
IO1,1,127.326,68,73 68 73 68 50 68 50 32 50 32 14 32 14 0 14 0,S85 C63 S52 C30 S17,crease,30,37.612,0.093546,27.508,64.883
IO1,1,127.326,68,73 68 73 68 50 68 50 32 50 32 14 32 14 0 14 0,S85 C63 S52 C30 S17,seam,17,44.079,0.109629,40.491,46.593
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,crease,0,17.6,0.043773,0.792,0.0
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,crease,14,48.373,0.120308,-22.652,-26.037
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,36,48.054,0.119515,-27.999,-48.201
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,crease,52,48.373,0.120308,-84.017,145.38
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,58,9.842,0.024478,-74.993,145.835
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,60,11.658,0.028996,-56.556,156.556
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,62,7.743,0.019257,-25.846,162.309
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,64,3.968,0.009868,1.508,162.313
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,crease,54,1.671,0.004155,25.342,175.362
GND,1,372.308,197,0 1 19 37 55 56 57 58 59 60 73,C0 C14 S36 C52 S58 S60 S62 S64 C54 S78,seam,78,43.658,0.108582,33.046,167.114
