net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,seam,35,26.193,0.065145,-105.153,226.125
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,45,58.418,0.14529,-181.396,-82.369
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,50,18.486,0.045976,-165.529,-71.351
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,seam,60,18.486,0.045976,-90.312,5.001
VBUS,1,179.539,90,23 36 49 53 43 53 43 30 43 30,S35 C45 C50 S60 C41,crease,41,58.418,0.14529,-71.163,10.415
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,30,17.979,0.044716,-53.104,7.041
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,27,26.691,0.066383,-50.645,7.526
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,12,58.502,0.145501,-33.356,9.016
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,2,18.152,0.045146,-12.434,10.971
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,6,18.486,0.045976,74.647,66.222
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,seam,23,58.418,0.14529,91.302,75.711
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,22,14.91,0.037084,-99.153,208.415
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,crease,22,14.91,0.037084,-105.554,208.795
V5,1,226.551,130,30 29 30 29 16 29 16 3 16 3 0 3 0 10 23 22 23 22 23 36,C30 C27 C12 C2 C6 S23 C22 C22 S35,seam,35,26.193,0.065145,-106.198,211.097
USB_DM,1,122.029,65,23 10 23 10 0 10 0,S23 C6,seam,23,58.418,0.14529,98.409,61.931
USB_DM,1,122.029,65,23 10 23 10 0 10 0,S23 C6,crease,6,18.486,0.045976,79.534,56.746
USB_DP,1,123.63,59,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,23,58.418,0.14529,94.145,70.199
USB_DP,1,123.63,59,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,13,4.908,0.012206,85.996,73.792
USB_DP,1,123.63,59,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,crease,5,18.902,0.04701,67.029,74.809
DRV1,1,180.143,107,0 3 2 3 2 1 2 1 13 26 25 26 25 24 25 24,C2 S3 C0 C1 S18 C24 C23,crease,2,18.152,0.045146,-13.83,13.678
DRV1,1,180.143,107,0 3 2 3 2 1 2 1 13 26 25 26 25 24 25 24,C2 S3 C0 C1 S18 C24 C23,seam,3,6.95,0.017286,-10.211,5.183
DRV1,1,180.143,107,0 3 2 3 2 1 2 1 13 26 25 26 25 24 25 24,C2 S3 C0 C1 S18 C24 C23,crease,0,14.252,0.035447,-1.625,-8.433
DRV1,1,180.143,107,0 3 2 3 2 1 2 1 13 26 25 26 25 24 25 24,C2 S3 C0 C1 S18 C24 C23,crease,1,13.471,0.033503,40.18,-23.239
